Match ID,Season,Current Rank,Map,Agent,Performance,Kills,Deaths,Assists,K/D,Damage Delta/Round,Kills/Round,Average Damage/Round,Econ Rating,First Kills,First Deaths,Entry Success Rate,Headshot Accuracy,Kills/Assists/Survived/Traded,Round Win %,TRN Score,Time Category,Day of Week,Result
e0f5a7e8-b324-47d0-8e03-d72536a85f5d,V26: A3,Platinum 2,Lotus,Vyse,1,20,15,5,1.3,40,0.9,169.9,68,2,0,1,0.215,0.76,0.619,811,Morning,Sunday,victory
e239755f-f90e-4845-bbd4-325b36f723c6,V26: A2,Platinum 2,Split,Phoenix,6,18,23,6,0.8,-32,0.6,134.6,48,3,4,0.429,0.143,0.61,0.5,398,Afternoon,Sunday,tied
e3950d8a-79db-433f-8e59-b1284897ad0c,V26: A2,Platinum 2,Fracture,Brimstone,10,7,19,11,0.4,-76,0.4,93.7,38,0,2,0,0.233,0.79,0.316,321,Afternoon,Friday,defeat
e4902ea2-ecfc-49e2-8733-1d144100b343,V26: A2,Platinum 1,Breeze,Jett,3,22,20,8,1.1,15,1,184.5,94,11,6,0.647,0.163,0.74,0.435,693,Night,Friday,defeat
e989d386-0a60-4aeb-ba05-6094941d17b0,V26: A3,Platinum 2,Pearl,Astra,8,10,14,3,0.7,-10,0.6,132.3,55,1,0,1,0.19,0.62,0.188,327,Night,Saturday,defeat
eb885d08-b0b7-4621-9a0c-c1a64f52a0f5,V26: A1,Unranked,Split,Omen,1,21,17,8,1.2,50,0.9,188.3,75,4,3,0.571,0.162,0.73,0.409,713,Afternoon,Thursday,defeat
ec5f30ab-67a6-4bb7-84fe-4bd6a0e594e1,V26: A2,Platinum 2,Pearl,Astra,4,20,15,7,1.3,57,0.9,179.1,78,1,1,0.5,0.171,0.82,0.591,860,Afternoon,Monday,victory
edf4c7d1-cac4-4e1a-a36b-324d94b29a03,V26: A3,Platinum 2,Breeze,Brimstone,6,17,12,10,1.4,17,0.7,122,73,0,0,0,0.262,0.79,0.542,658,Morning,Friday,victory
efca87ef-7677-4824-8f7e-5c70da6b9e67,V26: A1,Gold 3,Breeze,Brimstone,2,19,17,6,1.1,55,1.1,226.8,85,1,1,0.5,0.225,0.88,0.235,826,Night,Friday,defeat
f00a0dd5-1a79-416f-8dd0-e9bbc92bfa24,V26: A3,Platinum 2,Haven,Jett,1,22,8,3,2.8,147,1.5,249.3,74,0,2,0,0.276,1,0.867,1000,Afternoon,Monday,victory
f17653a5-6abb-4b02-bf40-a981114843f9,V26: A3,Platinum 2,Fracture,Vyse,3,20,16,5,1.2,57,0.8,175.7,72,6,3,0.667,0.196,0.67,0.458,652,Afternoon,Sunday,defeat
f2171649-8862-41d0-a645-496cdfd981fa,V26: A3,Platinum 2,Haven,Jett,7,15,18,2,0.8,-21,0.6,118.1,47,4,6,0.4,0.2,0.71,0.458,449,Afternoon,Thursday,defeat
f3aaf9a0-16c2-4344-a50a-20342c1c1e91,V26: A2,Platinum 2,Breeze,Viper,3,19,14,6,1.4,41,0.9,181.4,73,3,2,0.6,0.152,0.86,0.619,880,Night,Friday,victory
fdd27450-3ebc-4b89-9e17-f168d454aa01,V26: A3,Platinum 2,Ascent,Jett,7,14,21,5,0.7,-51,0.6,118,44,1,9,0.1,0.176,0.61,0.435,308,Morning,Friday,defeat
