Match ID,Season,Econ Loadout,Map,Kills,Deaths,Assists,K/D,Damage Delta/Round,Average Damage/Round,Entry Success Rate,Round Win %
3839d218-298d-4f18-a222-bc6b765d1826,V26: A2,full,Breeze,0,1,0,0,-133,0,0,0
3952779b-b2ea-4ba8-965e-8e462ba07aee,V26: A1,pistol,Haven,3,1,0,3,50,130,0,0.5
3952779b-b2ea-4ba8-965e-8e462ba07aee,V26: A1,semi,Haven,12,10,3,1.2,20,178.75,1,0.25
3952779b-b2ea-4ba8-965e-8e462ba07aee,V26: A1,eco,Haven,1,1,0,1,-60,140,0,1
3952779b-b2ea-4ba8-965e-8e462ba07aee,V26: A1,full,Haven,4,4,0,1,51,212.25,0.5,0.25
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,V26: A1,pistol,Abyss,1,2,1,0.5,-8,123.5,0,1
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,V26: A1,semi,Abyss,9,11,4,0.818181818,-16,130.07,0.333,0.643
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,V26: A1,full,Abyss,3,3,0,1,-23,136.33,0.5,0.333
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,V26: A1,eco,Abyss,2,2,0,1,-60,96.5,0,0.5
428971a8-690a-45ce-a568-28a1a2c450a6,V26: A2,pistol,Haven,2,2,2,1,22,195,0,0.5
428971a8-690a-45ce-a568-28a1a2c450a6,V26: A2,semi,Haven,5,7,3,0.714285714,-34,119.5,0.333,0.5
428971a8-690a-45ce-a568-28a1a2c450a6,V26: A2,eco,Haven,4,4,3,1,40,215.8,0,0.6
428971a8-690a-45ce-a568-28a1a2c450a6,V26: A2,full,Haven,4,6,6,0.666666667,20,135.12,1,0.625
44134d78-f8ce-47cd-8b5b-093a5ba9736f,V26: A1,pistol,Corrode,2,2,0,1,-50,120,1,0
44134d78-f8ce-47cd-8b5b-093a5ba9736f,V26: A1,eco,Corrode,1,3,1,0.333333333,-67,88.67,0,0.333
44134d78-f8ce-47cd-8b5b-093a5ba9736f,V26: A1,full,Corrode,0,2,0,0,-150,19.5,0,0
44134d78-f8ce-47cd-8b5b-093a5ba9736f,V26: A1,semi,Corrode,7,6,2,1.166666667,-2,134.67,0,0.222
447d53da-c874-43bc-8b9d-67bff7535a43,V26: A2,pistol,Breeze,3,2,0,1.5,39,180,1,1
447d53da-c874-43bc-8b9d-67bff7535a43,V26: A2,semi,Breeze,9,5,2,1.8,84,200.12,0.667,0.75
447d53da-c874-43bc-8b9d-67bff7535a43,V26: A2,eco,Breeze,5,5,1,1,5,191.33,0.5,0.667
447d53da-c874-43bc-8b9d-67bff7535a43,V26: A2,full,Breeze,3,3,1,1,-12,191.33,0,0.333
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,V26: A2,pistol,Bind,2,1,0,2,63,115.5,0,0.5
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,V26: A2,semi,Bind,9,5,4,1.8,97,214.75,0.6,0.5
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,V26: A2,full,Bind,4,3,1,1.333333333,49,118.71,0,0.714
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,V26: A2,eco,Bind,4,6,1,0.666666667,14,148.14,0,0.429
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,V26: A3,pistol,Haven,0,2,1,0,-70,37,0,0
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,V26: A3,eco,Haven,3,6,1,0.5,-35,88.29,0,0.286
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,V26: A3,semi,Haven,11,7,2,1.571428571,34,167.9,1,0.8
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,V26: A3,full,Haven,5,3,2,1.666666667,58,166.8,0,0.2
545a6eff-45bb-47ca-99d6-1a6be64c787c,V26: A1,pistol,Breeze,3,1,2,3,158,250.5,0.5,1
545a6eff-45bb-47ca-99d6-1a6be64c787c,V26: A1,semi,Breeze,6,4,1,1.5,33,140.43,0,0.857
545a6eff-45bb-47ca-99d6-1a6be64c787c,V26: A1,full,Breeze,2,4,1,0.5,-55,112,0,0.75
545a6eff-45bb-47ca-99d6-1a6be64c787c,V26: A1,eco,Breeze,1,2,1,0.5,-29,98,0,0.667
54925915-076d-4903-8de1-15e9c1583985,V26: A3,pistol,Ascent,3,1,0,3,81,191,0,0.5
54925915-076d-4903-8de1-15e9c1583985,V26: A3,semi,Ascent,8,9,5,0.888888889,-14,129.75,0,0.667
54925915-076d-4903-8de1-15e9c1583985,V26: A3,eco,Ascent,0,3,0,0,-140,0,0,0.333
54925915-076d-4903-8de1-15e9c1583985,V26: A3,full,Ascent,5,3,1,1.666666667,83,221,0,0.75
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,V26: A2,pistol,Breeze,1,2,1,0.5,-88,63.5,1,0.5
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,V26: A2,semi,Breeze,4,10,6,0.4,-27,107.27,0,0.455
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,V26: A2,eco,Breeze,7,4,1,1.75,112,253.6,0,0.4
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,V26: A2,full,Breeze,4,3,2,1.333333333,46,169.5,0,0.25
564534fd-995c-447e-9838-ba6bb4686edd,V26: A3,pistol,Fracture,1,1,2,1,-26,52,0,1
564534fd-995c-447e-9838-ba6bb4686edd,V26: A3,semi,Fracture,2,3,3,0.666666667,36,152.5,0,1
564534fd-995c-447e-9838-ba6bb4686edd,V26: A3,full,Fracture,8,5,5,1.6,50,184.71,0.5,0.714
564534fd-995c-447e-9838-ba6bb4686edd,V26: A3,eco,Fracture,4,0,2,,312,422,1,1
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,V26: A1,pistol,Breeze,2,2,1,1,44,165,0,0
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,V26: A1,eco,Breeze,4,4,2,1,24,134.67,0,0.333
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,V26: A1,full,Breeze,1,2,0,0.5,-57,97.5,0,0.5
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,V26: A1,semi,Breeze,6,9,3,0.666666667,-40,122.08,1,0.5
5f6eac07-5334-404e-a560-69aa97a3e0e8,V26: A2,pistol,Fracture,2,1,1,2,128,188.5,0,0.5
5f6eac07-5334-404e-a560-69aa97a3e0e8,V26: A2,eco,Fracture,6,4,4,1.5,52,189.75,0.25,0.75
5f6eac07-5334-404e-a560-69aa97a3e0e8,V26: A2,semi,Fracture,10,5,0,2,72,234.71,0.5,0.714
5f6eac07-5334-404e-a560-69aa97a3e0e8,V26: A2,full,Fracture,3,2,0,1.5,98,247,1,0.5
645b271c-edec-45fb-9c3e-15216d049c44,V26: A1,pistol,Breeze,1,2,0,0.5,-113,63,0,0
645b271c-edec-45fb-9c3e-15216d049c44,V26: A1,eco,Breeze,2,4,0,0.5,-35,106.75,0,0
645b271c-edec-45fb-9c3e-15216d049c44,V26: A1,semi,Breeze,14,13,6,1.076923077,39,196.81,0.25,0.625
645b271c-edec-45fb-9c3e-15216d049c44,V26: A1,full,Breeze,5,4,3,1.25,35,177,0,0.667
660b9e9a-e9f3-465b-8503-f71f0e28762f,V26: A2,pistol,Breeze,3,1,0,3,112,165,0,1
660b9e9a-e9f3-465b-8503-f71f0e28762f,V26: A2,semi,Breeze,7,3,0,2.333333333,161,250.4,0.667,0.8
660b9e9a-e9f3-465b-8503-f71f0e28762f,V26: A2,eco,Breeze,4,4,0,1,-59,86,0.667,0.4
660b9e9a-e9f3-465b-8503-f71f0e28762f,V26: A2,full,Breeze,5,3,0,1.666666667,22,123.5,1,0.833
69d5fdcc-4cad-40b6-b4ba-8bd9421820ab,V26: A1,pistol,Pearl,1,1,0,1,-22,45,0,1
69d5fdcc-4cad-40b6-b4ba-8bd9421820ab,V26: A1,eco,Pearl,3,5,3,0.6,-25,67.25,0,0.5
69d5fdcc-4cad-40b6-b4ba-8bd9421820ab,V26: A1,full,Pearl,6,4,1,1.5,-1,116.44,0,0.667
69d5fdcc-4cad-40b6-b4ba-8bd9421820ab,V26: A1,semi,Pearl,1,6,2,0.166666667,-115,58.14,0,0.286
6ef07405-f467-4c67-b1d2-cd982d3a6204,V26: A3,pistol,Fracture,2,2,0,1,-16,148.5,1,0.5
6ef07405-f467-4c67-b1d2-cd982d3a6204,V26: A3,eco,Fracture,5,5,3,1,27,158.29,0,0.429
6ef07405-f467-4c67-b1d2-cd982d3a6204,V26: A3,semi,Fracture,9,6,4,1.5,94,205.6,0,0.6
6ef07405-f467-4c67-b1d2-cd982d3a6204,V26: A3,full,Fracture,6,4,3,1.5,75,233.4,0,0.6
7058d430-756a-4103-bea2-5875d7cd15f5,V26: A3,pistol,Breeze,0,2,0,0,-107,17.5,0,0.5
7058d430-756a-4103-bea2-5875d7cd15f5,V26: A3,eco,Breeze,7,6,2,1.166666667,18,193.43,0,0.429
7058d430-756a-4103-bea2-5875d7cd15f5,V26: A3,semi,Breeze,6,5,4,1.2,44,164.75,0,0.375
7058d430-756a-4103-bea2-5875d7cd15f5,V26: A3,full,Breeze,5,5,0,1,-1,129.14,0,0.571
714340c4-1512-4d59-93ce-0c5ae63f3dde,V26: A1,pistol,Abyss,2,1,1,2,111,203.5,1,0.5
714340c4-1512-4d59-93ce-0c5ae63f3dde,V26: A1,semi,Abyss,20,7,0,2.857142857,139,270.18,0.5,0.455
714340c4-1512-4d59-93ce-0c5ae63f3dde,V26: A1,eco,Abyss,3,3,0,1,-1,172.33,1,0.333
714340c4-1512-4d59-93ce-0c5ae63f3dde,V26: A1,full,Abyss,3,4,1,0.75,4,133.33,0,0.333
7203c991-ddf1-46fc-9399-84423d690ba2,V26: A2,pistol,Pearl,1,2,1,0.5,-122,49.5,0,0
7203c991-ddf1-46fc-9399-84423d690ba2,V26: A2,eco,Pearl,3,1,2,3,35,106.2,0,0.8
7203c991-ddf1-46fc-9399-84423d690ba2,V26: A2,semi,Pearl,8,9,4,0.888888889,31,164.55,0.25,0.455
7203c991-ddf1-46fc-9399-84423d690ba2,V26: A2,full,Pearl,7,5,3,1.4,120,318,1,0.8
75f28cd7-34bc-42f6-b1c5-b96a527a43c3,V26: A2,pistol,Fracture,3,2,0,1.5,10,130,1,0
75f28cd7-34bc-42f6-b1c5-b96a527a43c3,V26: A2,eco,Fracture,4,6,0,0.666666667,4,128.88,0,0.375
75f28cd7-34bc-42f6-b1c5-b96a527a43c3,V26: A2,full,Fracture,2,0,3,,40,62,0,1
75f28cd7-34bc-42f6-b1c5-b96a527a43c3,V26: A2,semi,Fracture,5,8,2,0.625,4,164.33,0.333,0.333
7977b25c-bca3-4a5c-90a3-80bf2b420772,V26: A1,pistol,Corrode,3,2,0,1.5,36,140,0,0
7977b25c-bca3-4a5c-90a3-80bf2b420772,V26: A1,eco,Corrode,0,3,1,0,-136,21.67,0,0.667
7977b25c-bca3-4a5c-90a3-80bf2b420772,V26: A1,semi,Corrode,10,11,2,0.909090909,-10,162.54,0,0.615
7977b25c-bca3-4a5c-90a3-80bf2b420772,V26: A1,full,Corrode,4,5,0,0.8,-46,132.67,0,0.167
7a49d2ce-719b-4794-92d5-6fad7d6db0d3,V26: A3,pistol,Fracture,0,2,1,0,-74,47,0,0
7a49d2ce-719b-4794-92d5-6fad7d6db0d3,V26: A3,eco,Fracture,1,3,0,0.333333333,-44,61,1,0.25
7a49d2ce-719b-4794-92d5-6fad7d6db0d3,V26: A3,semi,Fracture,8,10,6,0.8,9,131.93,0.5,0.5
7a49d2ce-719b-4794-92d5-6fad7d6db0d3,V26: A3,full,Fracture,4,4,1,1,-32,159.75,0,0.75
7c924892-0173-4483-bcdd-8912445b7988,V26: A3,pistol,Ascent,3,2,1,1.5,45,210,0,0
7c924892-0173-4483-bcdd-8912445b7988,V26: A3,eco,Ascent,1,3,1,0.333333333,-17,112.33,0,0
7c924892-0173-4483-bcdd-8912445b7988,V26: A3,full,Ascent,4,4,2,1,8,158.4,0,0.2
7c924892-0173-4483-bcdd-8912445b7988,V26: A3,semi,Ascent,4,4,0,1,15,156,1,0.2
7df1c0c9-d974-414f-ba92-eea94aee2311,V26: A3,pistol,Split,2,1,0,2,10,66,0,0.5
7df1c0c9-d974-414f-ba92-eea94aee2311,V26: A3,eco,Split,8,4,0,2,72,176.88,1,0.625
7df1c0c9-d974-414f-ba92-eea94aee2311,V26: A3,semi,Split,5,3,0,1.666666667,91,212.33,0.5,0.5
7df1c0c9-d974-414f-ba92-eea94aee2311,V26: A3,full,Split,7,4,1,1.75,74,201.33,1,0.667
7e025fed-8b3b-4895-93c8-a883d27ca18b,V26: A2,pistol,Split,1,2,1,0.5,47,154,0.5,0.5
7e025fed-8b3b-4895-93c8-a883d27ca18b,V26: A2,eco,Split,4,3,1,1.333333333,-7,129.2,1,0.8
7e025fed-8b3b-4895-93c8-a883d27ca18b,V26: A2,semi,Split,1,2,1,0.5,-23,54.8,0,0.8
7e025fed-8b3b-4895-93c8-a883d27ca18b,V26: A2,full,Split,8,3,2,2.666666667,162,274.2,0.333,0.8
7f97babd-ff51-43e8-b231-d793ade89842,V26: A2,pistol,Split,3,1,0,3,34,146,0.5,1
7f97babd-ff51-43e8-b231-d793ade89842,V26: A2,semi,Split,11,9,5,1.222222222,74,195.15,1,0.462
7f97babd-ff51-43e8-b231-d793ade89842,V26: A2,eco,Split,0,3,1,0,-99,54.33,0,0.333
7f97babd-ff51-43e8-b231-d793ade89842,V26: A2,full,Split,7,5,1,1.4,131,304.2,1,0.2
80b04152-1ba2-4869-ad8c-3ed74849e050,V26: A3,pistol,Fracture,0,2,0,0,-96,13,0,0
80b04152-1ba2-4869-ad8c-3ed74849e050,V26: A3,eco,Fracture,2,1,1,2,27,95.67,0,0.667
80b04152-1ba2-4869-ad8c-3ed74849e050,V26: A3,semi,Fracture,7,8,5,0.875,-18,126.6,1,0.4
80b04152-1ba2-4869-ad8c-3ed74849e050,V26: A3,full,Fracture,1,4,0,0.25,-126,58.5,0,0
81811745-0070-4667-8515-cac06f90b811,V26: A2,pistol,Lotus,3,1,1,3,76,150.5,1,0.5
81811745-0070-4667-8515-cac06f90b811,V26: A2,semi,Lotus,7,5,2,1.4,40,179,0,0.857
81811745-0070-4667-8515-cac06f90b811,V26: A2,eco,Lotus,0,5,1,0,-72,67.6,0,0
81811745-0070-4667-8515-cac06f90b811,V26: A2,full,Lotus,8,3,2,2.666666667,144,246.67,0,1
82d29ef2-8934-4fca-9079-4caeeb32ac2c,V26: A2,pistol,Haven,1,2,0,0.5,-72,57.5,0,0.5
