id,date and time,result,map,season
0db767de-c9b3-4431-8b6f-e6a4a0301044,12/02/2026 5:58:47 AM,defeat,Corrode,V26: A1
0a2bc01a-180f-428b-ad99-33504edcc891,12/02/2026 5:13:31 AM,tied,Split,V26: A1
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,08/02/2026 3:52:42 AM,defeat,Pearl,V26: A1
a1df5bc3-59cd-4e47-b82b-3e81f08fbfa0,08/02/2026 3:25:10 AM,victory,Pearl,V26: A1
285fe4ee-5962-452d-ba99-fb0e8eb911fc,05/02/2026 8:23:46 AM,defeat,Bind,V26: A1
eb885d08-b0b7-4621-9a0c-c1a64f52a0f5,05/02/2026 7:46:10 AM,defeat,Split,V26: A1
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,04/02/2026 3:07:20 PM,defeat,Corrode,V26: A1
367b5de8-a7de-4170-83b8-0c04cb4afc30,04/02/2026 2:29:21 PM,defeat,Corrode,V26: A1
d7912805-6223-49c5-8872-e39e00780b5a,04/02/2026 1:43:23 PM,victory,Pearl,V26: A1
e239755f-f90e-4845-bbd4-325b36f723c6,26/04/2026 5:57:32 AM,tied,Split,V26: A2
7e025fed-8b3b-4895-93c8-a883d27ca18b,26/04/2026 5:28:31 AM,victory,Split,V26: A2
9682ff08-a32d-458d-90f0-7728662f0201,26/04/2026 4:51:31 AM,victory,Bind,V26: A2
5f6eac07-5334-404e-a560-69aa97a3e0e8,26/04/2026 4:18:24 AM,victory,Fracture,V26: A2
2e26c762-3b06-41a3-9ec9-965e05a47ef5,21/04/2026 9:50:37 AM,defeat,Bind,V26: A2
a5e9ee3a-dbe7-4fe1-a43d-8c6bbb11b208,14/04/2026 3:04:59 PM,defeat,Haven,V26: A2
660b9e9a-e9f3-465b-8503-f71f0e28762f,14/04/2026 2:31:12 PM,victory,Breeze,V26: A2
f3aaf9a0-16c2-4344-a50a-20342c1c1e91,10/04/2026 2:24:56 PM,victory,Breeze,V26: A2
ce77a3ab-b7bb-459f-b868-0cf39d190628,10/04/2026 1:47:42 PM,victory,Bind,V26: A2
1b389dca-7c0a-427c-a4ee-90966cb59df9,10/04/2026 1:02:02 PM,defeat,Haven,V26: A2
a5de2f7d-94f3-4f29-b5ee-b3cbafb050ea,08/04/2026 4:19:14 PM,defeat,Pearl,V26: A2
845a74ec-3b8b-4aee-949c-588c42cef21a,08/04/2026 3:37:04 PM,victory,Fracture,V26: A2
82d29ef2-8934-4fca-9079-4caeeb32ac2c,08/04/2026 3:02:15 PM,victory,Haven,V26: A2
7f97babd-ff51-43e8-b231-d793ade89842,06/04/2026 3:24:55 PM,defeat,Split,V26: A2
3839d218-298d-4f18-a222-bc6b765d1826,06/04/2026 2:49:24 PM,victory,Breeze,V26: A2
75f28cd7-34bc-42f6-b1c5-b96a527a43c3,06/04/2026 6:09:07 AM,defeat,Fracture,V26: A2
ec5f30ab-67a6-4bb7-84fe-4bd6a0e594e1,06/04/2026 5:23:48 AM,victory,Pearl,V26: A2
c9973593-8253-47a0-a6dd-f6cbaefc7f43,03/04/2026 6:17:00 AM,victory,Breeze,V26: A2
e3950d8a-79db-433f-8e59-b1284897ad0c,03/04/2026 5:02:46 AM,defeat,Fracture,V26: A2
428971a8-690a-45ce-a568-28a1a2c450a6,27/03/2026 4:13:40 PM,victory,Haven,V26: A2
129c5fac-94ff-4e55-8d5f-809b92659cdf,27/03/2026 3:35:41 PM,victory,Bind,V26: A2
e4902ea2-ecfc-49e2-8733-1d144100b343,27/03/2026 2:32:38 PM,defeat,Breeze,V26: A2
81811745-0070-4667-8515-cac06f90b811,27/03/2026 1:56:29 PM,victory,Lotus,V26: A2
8eedd060-be5a-42aa-9493-22c0ee26cd53,25/03/2026 5:47:23 AM,victory,Bind,V26: A2
e0c09d3d-87f5-4dd2-aa23-4ab87fc7862e,25/03/2026 5:13:57 AM,defeat,Pearl,V26: A2
7203c991-ddf1-46fc-9399-84423d690ba2,24/03/2026 3:02:30 PM,victory,Pearl,V26: A2
447d53da-c874-43bc-8b9d-67bff7535a43,24/03/2026 2:24:36 PM,victory,Breeze,V26: A2
ab0e225d-41f4-41af-bd6f-7b9cd5588dd6,24/03/2026 1:49:00 PM,victory,Haven,V26: A2
46bfe6f6-b1a3-4b34-aca3-293034ecb89a,22/03/2026 6:48:13 AM,victory,Bind,V26: A2
5585a4a5-45ac-4143-97bb-a05a1a7c0cf3,22/03/2026 6:11:01 AM,defeat,Breeze,V26: A2
128a41b6-5d48-4acf-872c-d1404c9ee348,22/03/2026 5:40:44 AM,victory,Bind,V26: A2
bc1b3235-f629-4472-a520-d0e61feaf5e2,22/06/2026 9:06:55 AM,victory,Pearl,V26: A3
7a49d2ce-719b-4794-92d5-6fad7d6db0d3,21/06/2026 12:50:52 AM,defeat,Fracture,V26: A3
80b04152-1ba2-4869-ad8c-3ed74849e050,21/06/2026 12:18:15 AM,defeat,Fracture,V26: A3
edf4c7d1-cac4-4e1a-a36b-324d94b29a03,19/06/2026 4:26:33 AM,victory,Breeze,V26: A3
fdd27450-3ebc-4b89-9e17-f168d454aa01,19/06/2026 3:48:46 AM,defeat,Ascent,V26: A3
7df1c0c9-d974-414f-ba92-eea94aee2311,18/06/2026 7:59:22 AM,victory,Split,V26: A3
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,15/06/2026 7:41:05 AM,defeat,Haven,V26: A3
a38f171c-5420-45a2-8e7d-9b3a21ca885c,15/06/2026 6:46:09 AM,defeat,Lotus,V26: A3
cbf9255c-1ed7-404a-a8f8-781e329d2457,15/06/2026 6:12:53 AM,victory,Breeze,V26: A3
f00a0dd5-1a79-416f-8dd0-e9bbc92bfa24,15/06/2026 5:45:08 AM,victory,Haven,V26: A3
f17653a5-6abb-4b02-bf40-a981114843f9,14/06/2026 9:03:33 AM,defeat,Fracture,V26: A3
7c924892-0173-4483-bcdd-8912445b7988,14/06/2026 8:32:32 AM,defeat,Ascent,V26: A3
54925915-076d-4903-8de1-15e9c1583985,11/06/2026 8:34:58 AM,victory,Ascent,V26: A3
f2171649-8862-41d0-a645-496cdfd981fa,11/06/2026 7:46:11 AM,defeat,Haven,V26: A3
34a412f5-449d-4a3f-8a21-19aa47d60387,11/06/2026 7:09:29 AM,defeat,Breeze,V26: A3
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,06/06/2026 8:50:24 AM,defeat,Split,V26: A3
bdcad35f-c6a1-41db-904c-b16203fa5485,06/06/2026 8:23:51 AM,defeat,Haven,V26: A3
d5d74d3f-0134-42b3-bedc-709f95769bf4,04/06/2026 6:12:08 AM,defeat,Pearl,V26: A3
d227af40-1201-466d-a78c-919de89d56e2,04/06/2026 5:30:05 AM,victory,Lotus,V26: A3
9dc86f3c-9614-4da8-8016-540c5b9349b1,04/06/2026 4:37:44 AM,defeat,Split,V26: A3
564534fd-995c-447e-9838-ba6bb4686edd,31/05/2026 9:06:56 AM,victory,Fracture,V26: A3
9d0e36cc-061c-4366-a9da-848892ef2a45,31/05/2026 8:16:35 AM,victory,Ascent,V26: A3
176e9567-25e1-433b-be43-59464e07229b,18/05/2026 6:30:36 AM,victory,Split,V26: A3
bbb662c3-500d-49f2-a2af-5cf653a3de9c,18/05/2026 5:55:34 AM,victory,Fracture,V26: A3
cdf1764a-ab0f-4cba-8852-1c2113962c14,18/05/2026 5:09:43 AM,victory,Haven,V26: A3
8aa6b367-b650-44ad-bf4a-d02f18217d6b,18/05/2026 4:26:35 AM,victory,Lotus,V26: A3
cc636d05-6dfe-4519-aa83-42a8200e2bc8,18/05/2026 3:49:30 AM,defeat,Split,V26: A3
7058d430-756a-4103-bea2-5875d7cd15f5,18/05/2026 3:05:41 AM,defeat,Breeze,V26: A3
c92211ea-18c5-40c6-8b11-2a5aed64f6a4,15/05/2026 6:17:42 AM,defeat,Pearl,V26: A3
e0f5a7e8-b324-47d0-8e03-d72536a85f5d,03/05/2026 3:45:36 AM,victory,Lotus,V26: A3
4b9a9ea6-b410-476f-a3cf-fe18cb9e531b,02/05/2026 11:34:55 AM,defeat,Haven,V26: A3
0055ba6f-baab-4b85-9236-af1284e373c0,02/05/2026 10:54:59 AM,defeat,Split,V26: A3
e989d386-0a60-4aeb-ba05-6094941d17b0,02/05/2026 10:26:19 AM,defeat,Pearl,V26: A3
6ef07405-f467-4c67-b1d2-cd982d3a6204,01/05/2026 3:22:23 PM,victory,Fracture,V26: A3
2a10dc85-0a10-49a4-aa59-a6baf818c957,01/05/2026 8:45:35 AM,victory,Pearl,V26: A3
2a1f45c4-86d0-4506-ab9e-8a196156639f,01/05/2026 7:50:37 AM,defeat,Fracture,V26: A3
869b3fc2-09ea-4045-8599-a2443bd1a840,01/05/2026 7:15:19 AM,defeat,Lotus,V26: A3
